model,task_dir,attempts,llm_calls,accepted_repairs,input_tokens_in_log,output_tokens_in_log,top_action,top_action_count,top_error,top_error_count
o4mini,o-NR__definitions_u__impl2__entry_base-20251127-114047,20,21,0,69330,84546,arithmetic_overflow_repair,20,ArithmeticFlow,20
o4mini,o-IR__marshal_v__impl0__serialized_size-20251126-214126,20,21,0,41373,25559,postcondition_repair,20,PostCondFail,20
o4mini,o-IR__marshal_ironsht_specific_v__ckeyhashmap_max_serialized_size_exec-20251126-184432,20,21,0,36826,28748,postcondition_repair,20,PostCondFail,20
claude,o-AC__vreplicaset_controller__proof__liveness__proof__spec_before_phase_n_entails_true_leads_to_current_state_matches-20251130-214651,15,20,8,1342835,24304,postcondition_repair,6,AssertFail,10
claude,o-NR__impl_u__wrapped_token__impl3_write_stutter-20251201-224018,20,20,2,1071595,30759,precondition_repair,17,PreCondFail,17
claude,o-NR__spec_t__os_code_vc__lemma_concurrent_trs-20251201-212906,20,20,0,961395,14993,postcondition_repair,20,PostCondFail,20
claude-s4,o-NR__spec_t__os_code_vc__lemma_concurrent_trs-20251203-185719,20,20,0,956484,15016,postcondition_repair,20,PostCondFail,20
claude,o-NR__spec_t__os_code_vc__lemma_concurrent_trs_during_shootdown-20251201-213451,20,20,0,951736,17107,postcondition_repair,20,PostCondFail,20
claude-s4,o-NR__spec_t__os_code_vc__lemma_concurrent_trs_during_shootdown-20251203-190310,20,20,0,945094,16405,postcondition_repair,20,PostCondFail,20
claude-s4,o-NR__spec_t__os_code_vc__lemma_concurrent_trs_no_lock-20251203-192007,20,20,0,926470,12433,postcondition_repair,20,PostCondFail,20
claude,o-OS__kernel__syscall_new_proc_with_iommu__impl0__syscall_new_proc_with_endpoint_iommu-20251202-072729,20,20,0,894153,14260,precondition_repair,20,PreCondFail,20
claude-s4,o-OS__kernel__syscall_new_proc_with_iommu__impl0__syscall_new_proc_with_endpoint_iommu-20251204-054436,20,20,0,886469,12509,precondition_repair,20,PreCondFail,20
o4mini,o-AC__vreplicaset_controller__proof__liveness__spec__spec_and_invariants_entails_stable_spec_and_invariants-20251126-111201,20,20,0,793037,56629,postcondition_repair,20,PostCondFail,20
o4mini,o-NR__impl_u__wrapped_token__impl2__read-20251128-090721,20,20,0,751580,41439,postcondition_repair,20,PostCondFail,20
o4mini,o-NR__spec_t__os_code_vc__lemma_concurrent_trs-20251127-230106,20,20,0,750065,66329,postcondition_repair,20,PostCondFail,20
gpt5,o-NR__spec_t__os_code_vc__lemma_concurrent_trs-20251127-225405,20,20,0,746779,40360,postcondition_repair,20,PostCondFail,20
gpt5,o-NR__spec_t__os_code_vc__lemma_concurrent_trs_during_shootdown-20251127-230603,20,20,0,739465,43488,postcondition_repair,20,PostCondFail,20
o4mini,o-NR__spec_t__os_code_vc__lemma_concurrent_trs_during_shootdown-20251127-231412,20,20,0,737478,77860,postcondition_repair,20,PostCondFail,20
gpt5,o-NR__theorem__lemma1_next-20251128-075602,20,20,0,728595,26873,postcondition_repair,20,PostCondFail,20
o4mini,o-NR__theorem__lemma1_next-20251128-080625,20,20,0,728595,34684,postcondition_repair,20,PostCondFail,20
claude,o-OS__kernel__syscall_receive_empty__impl0__syscall_receive_empty_no_block-20251202-073638,20,20,0,723536,11374,precondition_repair,20,PreCondFail,20
o4mini,o-NR__spec_t__os_code_vc__lemma_concurrent_trs_no_lock-20251127-233525,20,20,0,718485,55380,postcondition_repair,20,PostCondFail,20
gpt5,o-NR__spec_t__os_code_vc__lemma_concurrent_trs_no_lock-20251127-233206,20,20,0,717418,33541,postcondition_repair,20,PostCondFail,20
claude-s4,o-OS__kernel__syscall_receive_empty__impl0__syscall_receive_empty_no_block-20251204-055156,20,20,0,714825,10356,precondition_repair,20,PreCondFail,20
o4mini,o-AC__vreplicaset_controller__proof__liveness__proof__lemma_from_reconcile_idle_to_scheduled-20251126-012911,20,20,0,714743,76221,postcondition_repair,20,PostCondFail,20
o4mini,o-OS__kernel__syscall_new_proc_with_iommu__impl0__syscall_new_proc_with_endpoint_iommu-20251128-184311,20,20,0,678765,73085,precondition_repair,20,PreCondFail,20
claude-s4,o-NR__impl_u__os_refinement__extra_mappings_preserved-20251203-182046,11,20,6,661748,17437,extensional_equality,2,AssertFail,9
o4mini,o-OS__kernel__create_and_map_pages__impl0__range_alloc_and_map-20251128-151755,20,20,0,583609,61843,arithmetic_overflow_repair,20,ArithmeticFlow,20
claude-s4,o-NR__impl_u__os_refinement__no_overlaps_applied_mappings-20251203-200449,20,20,0,574095,11226,postcondition_repair,20,PostCondFail,20
gpt5,o-OS__kernel__syscall_receive_empty__impl0__syscall_receive_empty_no_block-20251128-221434,20,20,0,555369,127584,precondition_repair,20,PreCondFail,20
o4mini,o-OS__kernel__syscall_receive_empty__impl0__syscall_receive_empty_no_block-20251128-190006,20,20,0,532505,42403,precondition_repair,20,PreCondFail,20
gpt5,o-NR__theorem__lemma1_init-20251128-074648,20,20,0,460020,29501,postcondition_repair,20,PostCondFail,20
o4mini,o-NR__theorem__lemma1_init-20251128-075809,20,20,0,458605,42167,postcondition_repair,20,PostCondFail,20
gpt5,o-NR__impl_u__os_refinement__no_overlaps_applied_mappings-20251127-215403,20,20,0,433654,26899,postcondition_repair,20,PostCondFail,20
o4mini,o-NR__impl_u__os_refinement__no_overlaps_applied_mappings-20251128-014323,20,20,0,432895,31612,postcondition_repair,20,PostCondFail,20
o4mini,o-NR__spec_t__os_code_vc__lemma_concurrent_trs_induct-20251127-232809,20,20,0,419263,43914,postcondition_repair,20,PostCondFail,20
gpt5,o-NR__spec_t__os_code_vc__lemma_concurrent_trs_induct-20251127-232011,20,20,0,419135,37753,postcondition_repair,20,PostCondFail,20
claude,o-OS__pagetable__pagetable_impl_base__impl0__remove_l4_entry-20251202-080758,20,20,0,410130,13959,precondition_repair,20,PreCondFail,20
claude-s4,o-OS__pagetable__pagetable_impl_base__impl0__remove_l4_entry-20251204-092756,20,20,0,408760,11523,precondition_repair,20,PreCondFail,20
claude-s4,o-NR__spec_t__mmu__rl2__lemma_step_WriteNonpos_post_valid_pt_walk_no_wraddr_in_path-20251204-044502,11,20,6,386130,15342,uselemma,2,AssertFail,9
claude,o-NR__spec_t__mmu__rl2__lemma_step_writenonneg_new_walk_has_pending_map-20251202-023926,11,20,7,364776,23643,uselemma,4,AssertFail,9
gpt5,o-IR__host_impl_v__impl2__host_model_next_receive_message-20251126-123048,20,20,0,347174,87190,postcondition_repair,20,PostCondFail,20
o4mini,o-OS__pagetable__pagetable_impl_base__impl0__get_entry_l4-20251129-014328,20,20,0,333399,53022,postcondition_repair,20,PostCondFail,20
o4mini,o-OS__memory_manager__spec_impl__impl0__resolve_pagetable_mapping-20251128-224632,20,20,2,296501,42367,postcondition_repair,20,PostCondFail,20
claude-s4,o-NR__spec_t__hlproof__unmap_start_preserves_inv-20251204-025304,11,20,9,276080,17839,instantiate_forall,3,AssertFail,9
gpt5,o-OS__process_manager__container_tree__new_container_preserve_tree_inv_5-20251129-052746,7,20,4,275663,119843,case_analysis,2,AssertFail,5
claude,o-AC__vreplicaset_controller__proof__liveness__terminate__lemma_from_pending_req_in_flight_or_resp__in_flight_at_all_delete_to_delete-20251201-063748,10,20,5,267891,25030,case_analysis,3,AssertFail,8
claude,o-AC__vreplicaset_controller__proof__helper_lemmas__vrs_rely_condition_equivalent_to_lifted_vrs_rely_condition-20251130-194425,11,20,8,267484,21888,instantiate_forall,5,AssertFail,9
claude-s4,o-ST__logimpl_setup-20251204-175018,20,20,3,216943,12159,precondition_repair,17,PreCondFail,17
claude-s4,o-ST__subregion_serialize_and_write_relative3-20251204-103032,11,20,10,186219,15212,instantiate_forall,4,AssertFail,8
gpt5,o-NR__spec_t__os_invariant__lemma_init_implies_empty_map-20251128-013723,20,20,0,177760,21179,postcondition_repair,20,PostCondFail,20
o4mini,o-NR__spec_t__os_invariant__lemma_init_implies_empty_map-20251128-021347,20,20,0,175075,27712,postcondition_repair,20,PostCondFail,20
claude-s4,o-ST__start_read_cdb-20251204-094544,20,20,0,170259,9338,postcondition_repair,20,PostCondFail,20
gpt5,o-IR__delegation_map_v__impl3__mind_the_gap-20251126-064903,12,20,11,132767,83193,instantiate_forall,8,AssertFail,9
o4mini,o-IR__delegation_map_v__impl4__range_consistent_impl-20251126-114354,20,20,0,120301,65146,postcondition_repair,20,PostCondFail,20
claude-s4,o-MA__bin_sizes__size_of_bin_mult_word_size-20251203-173822,11,20,7,118878,15609,nonlinear_arithmetic,3,AssertFail,8
claude-s4,o-MA__commit_mask__impl__create-20251203-180208,20,20,1,109425,20922,arithmetic_overflow_repair,20,ArithmeticFlow,20
gpt5,o-NR__impl_u__l2_impl__lemma_aligned_addr_mask_facts-20251127-165126,11,20,7,108086,90600,bit_vector_reasoning,3,AssertFail,6
o4mini,o-AL__always_p_or_eventually_q_rec-20251126-184457,11,20,2,101839,54682,induction,9,AssertFail,9
gpt5,o-ST__subregion_persistentmemorysubregion_new-20251129-114436,11,20,2,95354,43875,compute,8,AssertFail,9
o4mini,o-ST__pmemutil_check_cdb-20251129-062753,20,20,0,93565,47603,postcondition_repair,20,PostCondFail,20
gpt5,o-NR__definitions_u__impl2__entry_base-20251127-081459,20,20,0,88408,147337,arithmetic_overflow_repair,20,ArithmeticFlow,20
o4mini,o-MA__pigeonhole__set_mismatch-20251127-061433,10,20,6,82192,53417,induction,2,AssertFail,8
claude,o-IR__marshal_v__impl4__is_marshalable-20251201-073207,20,20,2,80967,13871,decfailend_repair,13,DecFailEnd,13
claude-s4,o-MA__commit_mask__impl__next_run-20251203-183738,20,20,1,80416,15342,arithmetic_overflow_repair,20,ArithmeticFlow,20
o4mini,o-MA__commit_mask__impl__create-20251127-190938,20,20,1,76413,58873,arithmetic_overflow_repair,20,ArithmeticFlow,20
gpt5,o-MA__commit_mask__lemma_obtain_bit_index_2-20251126-213400,12,20,3,67936,89886,uselemma,7,AssertFail,8
o4mini,o-AL__always_and_equality-20251126-163449,6,20,2,67820,75828,extensional_equality,2,AssertFail,4
o4mini,o-OS__va_range__impl2_new-20251129-190016,20,20,0,67260,42423,postcondition_repair,20,PostCondFail,20
o4mini,o-MA__layout__impl__align_up-20251127-033429,20,20,1,59092,53105,postcondition_repair,18,PostCondFail,18
o4mini,o-IR__marshal_v__impl4__is_marshalable-20251127-002124,20,20,2,56608,44791,decfailend_repair,18,DecFailEnd,18
gpt5,o-IR__marshal_v__impl4__is_marshalable-20251126-231159,20,20,2,55480,96761,decfailend_repair,17,DecFailEnd,17
o4mini,o-OS__util__page_ptr_util_u__v2l4index-20251129-185407,20,20,0,53708,38219,postcondition_repair,20,PostCondFail,20
o4mini,o-OS__util__page_ptr_util_u__v2l1index-20251129-183801,20,20,0,53359,39362,postcondition_repair,20,PostCondFail,20
o4mini,o-IR__marshal_v__impl3__lemma_view_equal_symmetric-20251126-234541,20,20,0,50605,38089,postcondition_repair,20,PostCondFail,20
o4mini,o-OS__util__page_ptr_util_u__v2l2index-20251129-184316,20,20,0,50390,34780,postcondition_repair,20,PostCondFail,20
o4mini,o-OS__util__page_ptr_util_u__v2l3index-20251129-184815,20,20,0,49252,36302,postcondition_repair,20,PostCondFail,20
o4mini,o-MA__bin_sizes__pow2_positive-20251127-154221,6,20,2,46795,31920,induction,4,AssertFail,4
gpt5,o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_create_pod_resp-20251126-044158,11,19,5,933393,92180,case_analysis,5,AssertFail,9
gpt5,o-NR__impl_u__os_refinement__no_overlaps_interp_pt_mem-20251127-220234,10,19,4,436562,122952,case_analysis,4,AssertFail,8
claude,o-NR__spec_t__mmu__rl2__next_step_preserves_inv_mapping__valid_is_not_in_sbuf-20251202-043602,11,19,9,372609,22727,uselemma,7,AssertFail,9
o4mini,o-OS__pagetable__pagetable_impl_base__impl0__get_entry_1g_l3-20251129-010503,9,19,4,312624,62571,instantiate_forall,5,AssertFail,7
claude,o-OS__process_manager__container_tree__new_container_preserve_tree_inv_4-20251202-082941,11,19,4,267166,21884,case_analysis,5,AssertFail,9
gpt5,o-NR__spec_t__os_invariant__lemma_insert_no_overlap_preserves_no_overlap-20251128-014359,11,19,6,158424,131557,instantiate_forall,4,AssertFail,9
claude-s4,o-NR__spec_t__os_invariant__lemma_map_insert_values_equality-20251203-202753,11,19,5,145290,13181,seqsetmap,3,AssertFail,9
claude-s4,o-AL__leads_to_apply-20251203-121710,11,19,8,142179,16835,instantiate_forall,5,AssertFail,9
claude,o-AL__push_to_set_seq_to_set_insert-20251130-172358,10,19,5,132831,18642,seqsetmap,4,AssertFail,8
claude-s4,o-AL__always_tla_forall_apply-20251203-110636,11,19,6,126178,16968,case_analysis,4,AssertFail,9
claude-s4,o-OS__array_set__impl0__new-20251204-023805,11,19,8,124687,11272,loopinv,3,AssertFail,8
o4mini,o-AL__or_leads_to_combine-20251125-194410,12,19,7,105640,76605,case_analysis,6,AssertFail,9
gpt5,o-IR__delegation_map_v__impl1_insert-20251126-034004,11,19,8,90303,109603,postcondition_repair,2,AssertFail,7
o4mini,o-MA__commit_mask__lemma_bitmask_to_is_bit_set-20251127-213540,10,19,8,76334,35703,bit_vector_reasoning,3,AssertFail,7
gpt5,o-NR__extra__mod_add_zero-20251127-100611,8,19,2,56344,66881,integer_ring,4,AssertFail,6
gpt5,o-MA__commit_mask__lemma_obtain_bit_index_3-20251126-220137,11,19,3,52796,65151,postcondition_repair,5,PostCondFail,5
o4mini,o-MA__commit_mask__lemma_obtain_bit_index_2-20251127-014636,11,19,6,48471,33095,precondition_repair,4,PreCondFail,4
o4mini,o-IR__verus_extra__choose_v-20251127-080948,8,19,4,41255,39191,precondition_repair,3,PreCondFail,3
gpt5,o-NR__spec_t__os_invariant__next_step_preserves_inv_allocated_mem-20251128-034648,9,18,4,713398,139086,case_analysis,4,AssertFail,7
claude,o-NR__impl_u__os_refinement__lemma_effective_mappings_unaffected_if_thread_state_constant-20251201-152917,10,18,4,627523,26261,add_trigger_assert,4,AssertFail,8
claude,o-OS__kernel__create_and_map_pages__impl0__check_address_space_va_range_free-20251202-051315,11,18,6,590709,12107,precondition_repair,5,PreCondFail,5
claude,o-OS__process_manager__impl_drop_enpoints__impl0__drop_endpoint-20251202-112725,11,18,7,539861,23930,uselemma,4,AssertFail,8
claude,o-NR__spec_t__os_invariant__lemma_insert_no_overlap_preserves_no_overlap-20251201-225601,10,18,6,218172,18009,seqsetmap,3,AssertFail,8
claude-s4,o-NR__spec_t__mmu__rl2__lemma_finish_iter_walk_invalid_after_nonpos_write-20251204-035334,10,18,6,204386,14130,compute,5,AssertFail,8
claude,o-ST__logimpl_update_inactive_log_metadata-20251202-190502,11,18,8,194949,18368,precondition_repair,3,AssertFail,6
claude,o-OS__pagetable__entry__page_entry2usize-20251202-095829,10,18,8,187605,24574,bit_vector_reasoning,6,AssertFail,6
claude,o-IR__marshal_v__impl5__lemma_serialization_is_not_a_prefix_of-20251201-083452,11,18,5,187449,25096,seqsetmap,5,AssertFail,8
claude,o-OS__pagetable__pagemap__impl0__set-20251202-101614,11,18,4,171356,22089,extensional_equality,3,AssertFail,8
gpt5,o-AL__tla_forall_always_equality-20251125-215018,10,18,9,96959,67266,instantiate_forall,5,AssertFail,7
gpt5,o-AL__wf1_variant_temp-20251126-024235,10,18,6,92063,126508,instantiate_forall,5,AssertFail,8
gpt5,o-IR__marshal_v__impl2__serialize-20251126-210359,10,18,6,91959,80976,seqsetmap,3,AssertFail,4
gpt5,o-VE__regular__leb128__impl2__lemma_spec_parse_low_7_bits-20251129-152223,8,18,5,81934,60160,bit_vector_reasoning,3,AssertFail,6
o4mini,o-MA__bin_sizes__leading_zeros_between_powers_of_2-20251127-152155,8,18,5,71502,39740,reveal_opaque,3,AssertFail,6
gpt5,o-AC__vreplicaset_controller__proof__liveness__api_actions__lemma_get_then_delete_matching_pod_request_deletes_matching_pod_and_returns_ok-20251125-233235,9,17,5,720270,117968,seqsetmap,3,AssertFail,7
claude-s4,o-NR__impl_u__os_refinement__lemma_effective_mappings_unaffected_if_thread_state_constant-20251203-192129,9,17,6,564120,14999,case_analysis,2,AssertFail,7
gpt5,o-ST__logimpl_read-20251130-050115,9,17,8,285395,133386,case_analysis,2,AssertFail,6
claude,o-IR__single_delivery_model_impl2__receive_ack_impl-20251201-091547,10,17,5,276049,17067,instantiate_forall,4,AssertFail,7
o4mini,o-OS__allocator__page_allocator_spec_impl__impl1__pages_with_mappings_are_mapped-20251128-081625,10,17,3,221581,67653,instantiate_forall,6,AssertFail,8
gpt5,o-NR__impl_u__os_refinement__lemma_inflight_unmap_vaddr_equals_hl_unmap-20251127-204339,8,17,6,199611,92333,instantiate_forall,2,AssertFail,6
o4mini,o-OS__process_manager__container_tree__remove_container_preserve_tree_inv_2-20251129-060959,9,17,7,198600,82195,case_analysis,3,AssertFail,7
o4mini,o-OS__process_manager__process_tree__new_proc_preserve_tree_inv_4-20251129-112355,8,17,6,170429,81447,case_analysis,4,AssertFail,6
gpt5,o-OS__process_manager__container_tree__in_subtree_imply_exist_in_child-20251129-041945,10,17,3,167319,174426,instantiate_forall,6,AssertFail,8
gpt5,o-IR__delegation_map_v__impl3__set-20251126-073405,11,17,8,141351,93143,instantiate_forall,3,AssertFail,8
claude-s4,o-AL__filtered_size_is_zero_means_no_such_value-20251203-114901,10,17,3,138074,15315,seqsetmap,6,AssertFail,8
claude,o-AL__transform_leads_to_with_until-20251130-202200,11,17,9,132165,18141,instantiate_exists,3,AssertFail,7
claude,o-IR__marshal_v__impl0__serialized_size-20251201-062926,10,17,2,129006,15259,seqsetmap,5,AssertFail,8
claude,o-MA__commit_mask__impl__create_full-20251201-135131,10,17,6,124837,17152,compute,3,AssertFail,8
o4mini,o-VE__regular__repetition__impl5__lemma_spec_serialize_max_length-20251129-134632,10,17,4,122691,68603,seqsetmap,3,AssertFail,8
claude,o-MA__commit_mask__impl__is_full-20251201-135736,9,17,6,115225,15171,nonlinear_arithmetic,2,AssertFail,7
claude,o-AL__vacuous_leads_to-20251130-204515,10,17,6,113008,17689,add_trigger_assert,4,AssertFail,8
gpt5,o-IR__marshal_v__impl4__serialize-20251127-011535,11,17,8,109704,91684,loopinv,5,AssertFail,7
gpt5,o-NR__spec_t__hlproof__insert_map_preserves_unique-20251128-083651,9,17,6,97030,90271,instantiate_forall,3,AssertFail,7
o4mini,o-ST__pmemutil_L_single_write_crash_effect_on_pm_region_view-20251129-052700,9,17,6,83248,59121,instantiate_forall,4,AssertFail,7
o4mini,o-IR__delegation_map_v__impl4__empty_key_range_is_consistent-20251126-112954,8,17,6,79170,48882,instantiate_forall,3,AssertFail,6
claude-s4,o-AL__always_and_equality-20251203-104048,6,17,2,78736,14533,extensional_equality,3,AssertFail,4
claude,o-IR__delegation_map_v__impl3__find_key-20251130-231708,9,17,5,75205,12438,postcondition_repair,3,PostCondFail,3
gpt5,o-MA__commit_mask__lemma_obtain_bit_index_3_aux-20251126-222048,15,17,4,54910,106122,bitvassert_repair,12,BitVAssertFail,12
o4mini,o-VE__regular__leb128__impl2__lemma_serialize_last_byte_high_8_bit_not_set-20251129-110944,13,17,7,51258,36635,bitvassert_repair,5,BitVAssertFail,5
gpt5,o-AC__vreplicaset_controller__proof__liveness__resource_match__lemma_from_after_receive_list_pods_resp_to_receive_delete_pod_resp-20251126-051159,8,16,4,758712,72247,postcondition_repair,3,AssertFail,4
o4mini,o-NR__spec_t__os_invariant__next_step_preserves_inv-20251128-035016,10,16,9,604341,26553,uselemma,7,AssertFail,7
claude-s4,o-OS__allocator__page_allocator_spec_impl__impl2__add_io_mapping_4k-20251204-000615,9,16,4,343403,15775,add_trigger_assert,4,AssertFail,7
gpt5,o-IR__host_impl_v__impl2__deliver_packet_seq-20251126-105428,9,16,8,230806,100188,instantiate_forall,3,AssertFail,7
claude-s4,o-NR__spec_t__mmu__rl2__lemma_step_Writeback_post_valid_pt_walk_not_wraddr_in_path-20251204-044909,10,16,9,225092,12771,uselemma,2,AssertFail,7
gpt5,o-OS__pagetable__entry__page_entry2usize-20251129-040911,10,16,9,221982,89128,bit_vector_reasoning,6,AssertFail,6
gpt5,o-NR__spec_t__os_invariant__lemma_candidate_mapping_inflight_vmem_overlap_os_implies_hl-20251128-011322,9,16,5,199983,89062,instantiate_exists,3,AssertFail,7
claude-s4,o-NR__spec_t__mmu__rl2__lemma_finish_iter_walk_valid_with_nonpos_write_in_path-20251204-035852,10,16,5,185018,13418,case_analysis,5,AssertFail,7
claude,o-ST__logimpl_setup-20251202-184535,16,16,3,175931,11393,precondition_repair,12,PreCondFail,12
claude-s4,o-NO__spec__unbounded_log__LogRangeMatchesQueue_append-20251203-143137,10,16,4,171669,18137,case_analysis,3,AssertFail,7
o4mini,o-ST__setup_write_setup_metadata_to_region-20251129-063553,10,16,8,143248,54987,uselemma,3,AssertFail,6
claude-s4,o-MA__layout__block_ptr_aligned_to_word-20251203-130442,9,16,6,127678,14187,case_analysis,2,AssertFail,7
claude-s4,o-AL__leads_to_trans-20251202-180609,9,16,8,109736,12060,case_analysis,3,AssertFail,6
claude-s4,o-IR__verus_extra__lemma_flatten_set_seq_spec-20251203-144925,9,16,5,109708,12984,instantiate_forall,2,AssertFail,7
claude,o-IR__delegation_map_v__impl1_insert-20251130-221234,11,16,10,107523,14881,postcondition_repair,2,AssertFail,5
claude-s4,o-AL__map_values_to_set_eq_to_set_mk_map_values-20251202-183620,8,16,6,103501,10629,seqsetmap,3,AssertFail,6
gpt5,o-ST__subregion_L_condition_sufficient_to_create_wrpm_subregion-20251129-105649,8,16,6,102337,97777,instantiate_forall,6,AssertFail,6
claude-s4,o-MA__bin_sizes__pow2_properties-20251203-171817,10,16,6,102284,14962,induction,3,AssertFail,7
claude-s4,o-AL__stable_and_temp-20251202-205858,9,16,8,93526,12708,case_analysis,4,AssertFail,7
claude-s4,o-AL__always_p_or_eventually_q_rec-20251203-110229,9,16,3,90229,12747,induction,4,AssertFail,7
claude,o-MA__bin_sizes__leading_zeros_between_powers_of_2-20251201-124146,8,16,3,85518,16520,induction,2,AssertFail,6
gpt5,o-NR__spec_t__os_invariant__lemma_submap_preserves_no_overlap-20251128-031210,6,16,3,76105,65566,instantiate_forall,3,AssertFail,4
gpt5,o-IR__verus_extra__lemma_if_nothing_in_seq_satisfies_filter_then_filter_result_is_empty-20251127-100654,8,16,5,73841,64736,postcondition_repair,1,AssertFail,6
gpt5,o-OS__array_set__impl0__new-20251128-140121,9,16,7,68685,56554,loopinv,4,AssertFail,6
claude,o-NR__extra__aligned_transitive-20251201-125355,8,16,2,63463,15872,integer_ring,3,AssertFail,6
claude-s4,o-IR__marshal_ironsht_specific_v__sorted_keys-20251203-110604,10,16,6,58386,9209,postcondition_repair,3,AssertFail,4
o4mini,o-IR__seq_is_unique__do_vec_u8s_match-20251127-044824,7,16,4,41117,37547,loopinv,3,AssertFail,4
gpt5,o-OS__kernel__mem_util__impl0__create_iommu_table_entry-20251128-192713,9,15,5,646019,147136,uselemma,4,AssertFail,6
gpt5,o-AC__vreplicaset_controller__proof__guarantee__guarantee_condition_holds-20251125-170806,9,15,8,581852,54493,instantiate_forall,2,AssertFail,6
gpt5,o-AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_every_msg_from_vrs_controller_carries_vrs_key-20251125-172445,9,15,7,579210,69393,instantiate_forall,3,AssertFail,6
gpt5,o-AC__vreplicaset_controller__proof__helper_invariants__proof__lemma_always_there_is_no_request_msg_to_external_from_controller-20251125-174804,9,15,7,566253,63552,case_analysis,2,AssertFail,6
gpt5,o-NR__impl_u__wrapped_token__start_map_and_acquire_lock-20251128-080750,9,15,3,544320,86811,uselemma,6,AssertFail,6
claude-s4,o-OS__pagetable__pagetable_impl_base__impl0__get_entry_l2-20251204-083408,9,15,5,372764,15847,add_trigger_assert,4,AssertFail,5
o4mini,o-OS__pagetable__pagetable_impl_base__impl0__get_entry_2m_l2-20251129-011420,8,15,6,253780,54039,instantiate_forall,3,AssertFail,6
claude,o-OS__process_manager__process_tree__remove_proc_preserve_tree_inv_2-20251202-132046,9,15,5,246233,17686,instantiate_forall,2,AssertFail,7
gpt5,o-NR__spec_t__mmu__rl2__lemma_step_WriteNonpos_post_valid_pt_walk_no_wraddr_in_path-20251128-154617,9,15,5,218898,139589,uselemma,4,AssertFail,7
claude,o-NR__spec_t__mmu__rl2__lemma_finish_iter_walk_valid_with_nonpos_write_in_path-20251202-010636,9,15,5,188922,18491,case_analysis,3,AssertFail,7
claude-s4,o-IR__net_sht_v__receive_with_demarshal-20251203-133408,9,15,2,155166,17677,postcondition_repair,7,PostCondFail,7
gpt5,o-ST__setup_write_setup_metadata_to_region-20251129-094512,9,15,8,140939,82613,uselemma,4,AssertFail,5
o4mini,o-OS__process_manager__process_tree__new_proc_preserve_tree_inv_7-20251129-114315,8,15,4,140572,65788,instantiate_forall,5,AssertFail,6
claude-s4,o-NR__impl_u__l1__impl2__lemma_entries_interp_equal_implies_interp_aux_equal-20251203-160830,9,15,4,122162,13096,induction,5,AssertFail,7
claude-s4,o-OS__pagetable__pagemap__impl0__set-20251204-075647,12,15,4,118923,13846,postcondition_repair,8,AssertFail,9
claude-s4,o-NR__spec_t__mmu__defs__x86_arch_exec-20251204-031319,9,15,3,116998,12602,compute,3,AssertFail,7
claude,o-IR__marshal_v__impl3__lemma_serialization_is_not_a_prefix_of-20251201-071117,8,15,4,113035,14739,seqsetmap,2,AssertFail,6
claude-s4,o-AL__vacuous_leads_to-20251203-014707,9,15,7,108071,12310,case_analysis,4,AssertFail,7
claude,o-IR__delegation_map_v__impl3__keys_in_index_range_agree-20251130-233459,10,15,6,106890,17890,postcondition_repair,3,AssertFail,6
gpt5,o-IR__delegation_map_v__impl4__range_consistent_subset-20251126-095154,9,15,8,104240,69381,instantiate_forall,5,AssertFail,7
claude-s4,o-AL__always_weaken-20251203-111804,9,15,7,90609,11926,case_analysis,4,AssertFail,7
claude-s4,o-VE__regular__repetition__impl2__lemma_parse_productive_helper-20251204-113442,8,15,3,90177,10631,nonlinear_arithmetic,3,AssertFail,6
gpt5,o-NO__exec__utils__rids_match_pop-20251127-041136,9,15,6,89340,94847,case_analysis,3,AssertFail,7
claude-s4,o-MA__bin_sizes__pow2_adds-20251203-171443,9,15,4,87800,13593,induction,4,AssertFail,7
o4mini,o-AL__seq_equal_preserved_by_add-20251125-200754,9,15,8,82576,47683,extensional_equality,6,AssertFail,7
claude,o-MA__layout__bitand_with_mask_gives_rounding-20251201-100612,9,15,6,81994,13405,induction,2,AssertFail,6
gpt5,o-IR__single_delivery_state_v__impl1__insert-20251127-081512,9,15,3,79710,60993,case_analysis,3,AssertFail,7
o4mini,o-ST__subregion_persistentmemorysubregion_new-20251129-074051,15,15,2,77386,19247,postcondition_repair,1,AssertFail,13
claude-s4,o-AL__p_leads_to_q_is_stable-20251202-190734,7,15,6,74034,10767,case_analysis,2,AssertFail,5
o4mini,o-VE__regular__repetition__impl2__lemma_prefix_secure_helper-20251129-125228,8,15,6,71921,49195,reveal_with_fuel,2,AssertFail,6
gpt5,o-VE__regular__leb128__impl2__lemma_parse_high_8_bits_set_until_last-20251129-145716,6,15,2,69063,72172,induction,4,AssertFail,4
claude-s4,o-IR__verus_extra__choose_v-20251203-143921,8,15,6,64448,10034,instantiate_exists,2,AssertFail,5
gpt5,o-IR__marshal_v__impl0__serialized_size-20251126-194456,8,15,2,50690,44793,postcondition_repair,2,AssertFail,5
claude,o-OS__kernel__mem_util__impl0__create_iommu_table_entry-20251202-065614,8,14,6,818818,17122,add_trigger_assert,4,AssertFail,5
claude,o-NR__impl_u__os_refinement__extra_mappings_preserved_effective_mapping_inserted-20251201-143957,6,14,4,430834,14445,postcondition_repair,2,AssertFail,3
